en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
Synonyme(s);Синоним(и);Synonymum(y);Synonym(er);Synonym(e);Συνώνυμο(α);Sinónimo(s);Sünonüüm(id);Synonyymi(t);Synonyme(s);Sinonim(i);Szinonima(k);Sinonimo/i;Sinonimas(-ai);Sinonīms(-i);Sinonimu/i;Synoniem(en);Synonim(y);Sinónimo(s);Sinonim(e);Synonymá;Sinonim(i);Synonym(er);Synonym(er);Samheiti
Detergent name;Наименование на детергента;Název detergentu;Vaskemiddelnavn;Waschmittelname;Όνομα απορρυπαντικού;Nombre del detergente;Pesuaine nimetus;Pesuaineen nimi;Nom du détergent;Naziv deterdženta;Mosószer neve;Nome del detergente;Ploviklio pavadinimas;Mazgāšanas līdzekļa nosaukums;Isem tad-deterġent;Detergentnaam;Nazwa detergentu;Nome do detergente;Denumirea detergentului;Názov detergentu;Ime detergenta;Tvättmedelsnamn;Vaskemiddelnavn;Þvottaefnaheiti
UVCB name;Наименование на UVCB;Název UVCB;UVCB-navn;UVCB-Name;Όνομα UVCB;Nombre UVCB;UVCB nimetus;UVCB-nimi;Nom UVCB;Naziv UVCB;UVCB név;Nome UVCB;UVCB pavadinimas;UVCB nosaukums;Isem UVCB;UVCB-naam;Nazwa UVCB;Nome UVCB;Denumirea UVCB;Názov UVCB;Ime UVCB;UVCB-namn;UVCB-navn;UVCB heiti
Molecular weight;Молекулно тегло;Molekulová hmotnost;Molekylvægt;Molekulargewicht;Μοριακό βάρος;Peso molecular;Molekulmass;Molekyylipaino;Masse moléculaire;Molekularna masa;Molekulatömeg;Peso molecolare;Molekulinė masė;Molekulmasa;Piż molekulari;Moleculair gewicht;Masa cząsteczkowa;Peso molecular;Greutate moleculară;Molekulová hmotnosť;Molekulska masa;Molekylvikt;Molekylvekt;Sameindarþyngd
Molecular formula;Молекулна формула;Molekulový vzorec;Molekylformel;Molekularformel;Μοριακός τύπος;Fórmula molecular;Molekulaarne valem;Molekyylikaava;Formule moléculaire;Molekularna formula;Molekulaképlet;Formula molecolare;Molekulinė formulė;Molekulārā formula;Formula molekulari;Moleculaire formule;Wzór cząsteczkowy;Fórmula molecular;Formula moleculară;Molekulový vzorec;Molekulska formula;Molekylformel;Molekylformel;Sameindarformúla
Mixtures;Смеси;Směsi;Blandinger;Gemische;Μείγματα;Mezclas;Segud;Seokset;Mélanges;Smjese;Keverékek;Miscele;Mišiniai;Maisījumi;Taħlitiet;Mengsels;Mieszaniny;Misturas;Amestecuri;Zmesi;Zmesi;Blandningar;Blandinger;Blandur
Trade name/designation;Търговско наименование/обозначение;Obchodní název/označení;Handelsnavn/betegnelse;Handelsname/Bezeichnung;Εμπορική ονομασία/προσδιορισμός;Nombre/designación comercial;Kaubanduslik nimetus/märgistus;Kauppanimi/merkintä;Nom/désignation commerciale;Trgovački naziv/označavanje;Kereskedelmi név/megnevezés;Nome/designazione commerciale;Prekinis pavadinimas/žymėjimas;Tirdzniecības nosaukums/apzīmējums;Isem/titlu kummerċjali;Handelsnaam/aanduiding;Nazwa handlowa/oznaczenie;Nome/designação comercial;Denumire comercială/designație;Obchodný názov/označenie;Trgovsko ime/oznaka;Handelsnamn/beteckning;Handelsnavn/betegnelse;Vörumerki/auðkenni
Hazard components for labelling;Опасни компоненти за етикетиране;Nebezpečné složky pro označení;Farlige komponenter til mærkning;Gefährliche Inhaltsstoffe zur Kennzeichnung;Επικίνδυνα συστατικά για επισήμανση;Componentes peligrosos para el etiquetado;Ohtlikud komponendid märgistamiseks;Vaaralliset aineosat merkinnöissä;Composants dangereux pour l'étiquetage;Opasne komponente za označavanje;Veszélyes összetevők a címkézéshez;Componenti pericolosi per l'etichettatura;Pavojingos sudedamosios dalys ženklinimui;Bīstamās sastāvdaļas marķēšanai;Komponenti ta' periklu għall-ittikkettjar;Gevaarlijke componenten voor etikettering;Składniki niebezpieczne do oznakowania;Componentes perigosos para rotulagem;Componente periculoase pentru etichetare;Nebezpečné zložky na označovanie;Nevarne sestavine za označevanje;Farliga komponenter för märkning;Farlige komponenter for merking;Hættuleg efni til merkingar
Other means of identification;Други средства за идентификация;Jiné způsoby identifikace;Andre identifikationsmidler;Andere Identifikationsmöglichkeiten;Άλλοι τρόποι αναγνώρισης;Otros medios de identificación;Muud identifitseerimisvahendid;Muut tunnistamiskeinot;Autres moyens d'identification;Drugi načini identifikacije;Egyéb azonosítási módok;Altri mezzi di identificazione;Kiti identifikavimo būdai;Citi identifikācijas līdzekļi;Mezzi oħra ta' identifikazzjoni;Andere identificatiemiddelen;Inne środki identyfikacji;Outros meios de identificação;Alte mijloace de identificare;Iné spôsoby identifikácie;Drugi načini identifikacije;Andra identifieringsmetoder;Andre identifikasjonsmidler;Önnur auðkenni
Product category;Категория на продукта;Kategorie produktu;Produktkategori;Produktkategorie;Κατηγορία προϊόντος;Categoría del producto;Tootekategooria;Tuoteluokka;Catégorie de produit;Kategorija proizvoda;Termékkategória;Categoria del prodotto;Produkto kategorija;Produkta kategorija;Kategorija tal-prodott;Productcategorie;Kategoria produktu;Categoria do produto;Categorie de produs;Kategória produktu;Kategorija proizvoda;Produktkategori;Produktkategori;Vöruflokkur
Air care products;Продукти за освежаване на въздуха;Výrobky pro péči o vzduch;Luftplejeprodukter;Lufterfrischungsprodukte;Προϊόντα φροντίδας αέρα;Productos para el cuidado del aire;Õhuhooldustooted;Ilmanhoitotuotteet;Produits d'entretien de l'air;Proizvodi za osvježavanje zraka;Légfrissítők;Prodotti per la cura dell'aria;Oro priežiūros produktai;Gaisa kopšanas līdzekļi;Prodotti għall-kura tal-arja;Luchtverzorgingsproducten;Produkty do pielęgnacji powietrza;Produtos para tratamento do ar;Produse pentru îngrijirea aerului;Výrobky na starostlivosť o vzduch;Izdelki za nego zraka;Luftvårdsprodukter;Luftpleieprodukter;Loftgæða vörur
Finger paints;Бои за пръсти;Prstové barvy;Fingerfarver;Fingerfarben;Χρώματα δακτύλων;Pinturas de dedos;Sõrmevärvid;Sormivärit;Peintures pour les doigts;Prsti boje;Ujjfestékek;Colori a dita;Pirštų dažai;Pirkstu krāsas;Żebgħa tas-swaba;Vingerverf;Farby do malowania palcami;Tinta para dedos;Vopsele pentru degete;Prstové farby;Prstne barve;Fingerfärger;Fingermaling;Fingramálning
Cleaning;Почистване;Čištění;Rengøring;Reinigung;Καθαρισμός;Limpieza;Puhastus;Puhdistus;Nettoyage;Čišćenje;Tisztítás;Pulizia;Valymas;Tīrīšana;Tindif;Reiniging;Czyszczenie;Limpeza;Curățare;Čistenie;Čiščenje;Rengöring;Rengjøring;Hreinsun
Stone;Камък;Kámen;Sten;Stein;Πέτρα;Piedra;Kivi;Kivi;Pierre;Kamen;Kő;Pietra;Akmenys;Akmens;Ġebel;Steen;Kamień;Pedra;Piatră;Kameň;Kamen;Sten;Stein;Steinn
Chromium;Хром;Chrom;Chrom;Chrom;Χρώμιο;Cromo;Kroom;Kromi;Chrome;Krom;Króm;Cromo;Chromas;Hroms;Kromju;Chroom;Chrom;Crómio;Crom;Chróm;Krom;Krom;Krom;Króm
Pigments;Пигменти;Pigmenty;Pigmenter;Pigmente;Χρωστικές;Pigmentos;Pigment;Pigmentit;Pigments;Pigmenti;Pigmentek;Pigmenti;Pigmentai;Pigmenti;Pigmenti;Pigmenten;Pigmenty;Pigmentos;Pigmenți;Pigmenty;Pigmenti;Pigment;Pigmenter;Litarefni
Cement;Цимент;Cement;Cement;Zement;Τσιμέντο;Cemento;Tsement;Sementti;Ciment;Cement;Cement;Cemento;Cementas;Cements;Ċiment;Cement;Cement;Cimento;Ciment;Cement;Cement;Cement;Sement;Sement
Concrete;Бетон;Beton;Beton;Beton;Σκυρόδεμα;Hormigón;Betoon;Betoni;Béton;Beton;Beton;Calcestruzzo;Betonas;Betons;Konkrit;Beton;Beton;Betão;Beton;Betón;Beton;Betong;Betong;Steypa
Paint removers;Средства за премахване на бои;Odstraňovače nátěrů;Malingfjernere;Farbenentferner;Αφαιρετικά χρωμάτων;Removedores de pintura;Värvieemaldajad;Maalinpoistoaineet;Décapants pour peinture;Sredstva za uklanjanje boje;Festékeltávolítók;Svernicianti;Dažų šalinimo priemonės;Krāsu noņēmēji;Tneħħija taż-żebgħa;Verfafbijtmiddelen;Środki do usuwania farb;Removedores de tinta;Decapanți pentru vopsea;Odstraňovače farieb;Odstranjevalci barve;Färgborttagningsmedel;Malingfjernere;Málningarhreinsar
Adsorbents;Адсорбенти;Adsorbenty;Adsorbenter;Adsorbentien;Προσροφητικά;Adsorbentes;Adsorbendid;Adsorbentit;Adsorbants;Adsorbensi;Adszorbensek;Adsorbenti;Adsorbentai;Adsorbenti;Adsorbenti;Adsorbentia;Adsorbenty;Adsorventes;Adsorbanți;Adsorbenty;Adsorbenti;Adsorbenter;Adsorbenter;Frásogsefni
Electrolytes for batteries;Електролити за батерии;Elektrolyty pro baterie;Elektrolytter til batterier;Elektrolyte für Batterien;Ηλεκτρολύτες για μπαταρίες;Electrolitos para baterías;Elektrolüüdid akudele;Akkujen elektrolyytit;Électrolytes pour batteries;Elektroliti za baterije;Elektrolitok akkumulátorokhoz;Elettroliti per batterie;Elektrolitai baterijoms;Elektrolīti akumulatoriem;Elettroliti għall-batteriji;Elektrolyten voor batterijen;Elektrolity do baterii;Eletrólitos para baterias;Electroliți pentru baterii;Elektrolyty pre batérie;Elektroliti za baterije;Elektrolyter för batterier;Elektrolytter for batterier;Raflausnir fyrir rafhlöður
Heat transfer fluids;Топлоносители;Kapalinové teplonosné látky;Varmeoverførselsvæsker;Wärmeträgerflüssigkeiten;Υγρά μεταφοράς θερμότητας;Fluidos de transferencia de calor;Soojusülekandevedelikud;Lämmönsiirtonesteet;Fluides caloporteurs;Tekućine za prijenos topline;Hőátadó folyadékok;Fluidi per il trasferimento di calore;Šilumos perdavimo skysčiai;Siltuma pārneses šķidrumi;Fluwidi għat-trasferiment tas-sħana;Warmteoverdrachtsvloeistoffen;Płyny do przenoszenia ciepła;Fluidos de transferência de calor;Fluide pentru transfer termic;Kvapaliny na prenos tepla;Tekočine za prenos toplote;Värmeöverföringsvätskor;Varmeoverføringsvæsker;Varmaflutningsvökvar
Hydraulic fluids;Хидравлични течности;Hydraulické kapaliny;Hydraulikvæsker;Hydraulikflüssigkeiten;Υδραυλικά υγρά;Fluidos hidráulicos;Hüdraulilised vedelikud;Hydraulinesteet;Fluides hydrauliques;Hidraulične tekućine;Hidraulikus folyadékok;Fluidi idraulici;Hidrauliniai skysčiai;Hidrauliskie šķidrumi;Fluwidi idrawliċi;Hydraulische vloeistoffen;Płyny hydrauliczne;Fluidos hidráulicos;Fluide hidraulice;Hydraulické kvapaliny;Hidravlične tekočine;Hydraulvätskor;Hydraulikkvæsker;Vökvakerfisvökvar
Lubricants;Смазочни материали;Maziva;Smøremidler;Schmierstoffe;Λιπαντικά;Lubricantes;Määrdeained;Voiteluaineet;Lubrifiants;Maziva;Kenőanyagok;Lubrificanti;Tepalai;Smērvielas;Lubrikanti;Smeermiddelen;Środki smarne;Lubrificantes;Lubrifianți;Mazivá;Maziva;Smörjmedel;Smøremidler;Smyrsl
Metal surface treatment products;Продукти за обработка на метални повърхности;Výrobky pro úpravu kovových povrchů;Produkter til metaloverfladebehandling;Produkte zur Metalloberflächenbehandlung;Προϊόντα επεξεργασίας επιφανειών μετάλλων;Productos para el tratamiento de superficies metálicas;Metallipinna töötlemise tooted;Metallipintojen käsittelytuotteet;Produits de traitement de surface des métaux;Proizvodi za obradu metalnih površina;Fémfelület-kezelő termékek;Prodotti per il trattamento delle superfici metalliche;Metalo paviršiaus apdorojimo produktai;Metāla virsmas apstrādes līdzekļi;Prodotti għat-trattament tal-wiċċ tal-metall;Producten voor metaaloppervlaktebehandeling;Produkty do obróbki powierzchni metalowych;Produtos para tratamento de superfícies metálicas;Produse pentru tratarea suprafețelor metalice;Výrobky na úpravu kovových povrchov;Izdelki za obdelavo kovinskih površin;Produkter för metallytbehandling;Produkter for metalloverflatebehandling;Vörur til meðhöndlunar á málmyfirborði
Metal working fluids;Течности за металообработка;Kapalinové prostředky pro obrábění kovů;Metalbearbejdningsvæsker;Metallbearbeitungsflüssigkeiten;Υγρά επεξεργασίας μετάλλων;Fluidos para el trabajo de metales;Metallitöötlemise vedelikud;Metallintyöstönesteet;Fluides de travail des métaux;Tekućine za obradu metala;Fémmegmunkáló folyadékok;Fluidi per lavorazione dei metalli;Metalo apdirbimo skysčiai;Metālapstrādes šķidrumi;Fluwidi għall-ħidma tal-metall;Metaalbewerkingsvloeistoffen;Płyny do obróbki metali;Fluidos de trabalho de metais;Fluide pentru prelucrarea metalelor;Kvapaliny na obrábanie kovov;Tekočine za obdelavo kovin;Metallarbetningsvätskor;Metallbearbeidingsvæsker;Vökvar til málmvinnslu
Photochemicals;Фотохимикали;Fotochemikálie;Fotokemikalier;Fotochemikalien;Φωτοχημικά;Productos fotoquímicos;Fotokemikaalid;Valokemikaalit;Produits photochimiques;Fotokemikalije;Fotokémiai anyagok;Prodotti chimici fotografici;Fotochemikalai;Fotokemikālijas;Fotokimiċi;Fotochemische producten;Chemikalia fotograficzne;Produtos químicos fotográficos;Produse fotochimice;Fotochemikálie;Fotokemikalije;Fotokemikalier;Fotokjemikalier;Ljósmyndunarefni
Polymer preparations and compounds;Полимерни препарати и съединения;polymerové přípravky a sloučeniny;Polymere kemiske produkter og blandinger;Polymerzubereitungen und -verbindungen;Παρασκευάσματα και ενώσεις πολυμερών;Preparados y componentes poliméricos;Polümeeri sisaldavad valmistised ja ühendid;Polymeerivalmisteet ja -seokset;Préparations et composés à base de polymères;polimerni pripravak i spoj;Polimer készítmények és vegyületek;Preparati e composti polimerici;Polimerinės medžiagos ir mišiniai;Polimēru produkti un sastāvi;Preparati u komposti ta’ polimeri;Polymeerpreparaten en polymeerverbindingen;Preparaty i związki polimerowe;Preparações e misturas de polímeros;Preparate şi compuşi polimerici;Polymérové prípravky a zlúčeniny;Polimerni pripravki in spojine;Polymerberedningar och -föreningar;Polymerpreparater og -forbindelser;Pólýmer undirbúningur og efnasambönd
Biocidal products;Биоцидни продукти;Biocidní výrobky;Biocidholdige produkter;Biozidprodukte;Βιοκτόνα προϊόντα;Productos biocidas;Biotsiidid;Biosidituotteet;Produits biocides;Biocidni proizvodi;Biocid termékek;Prodotti biocidi;Biocidiniai produktai;Biocīdie produkti;Prodotti bijoċidali;Biociden;Produkty biobójcze;Produtos biocidas;Produse biocide;Biocídne výrobky;Biocidni proizvodi;Biocidprodukter;Biocidprodukter;Sýklalyf
Disinfectants and algaecides not intended for direct application to humans or animals;Дезинфектанти и алгициди, които не са предназначени за директно приложение върху хора или животни;Dezinfekční prostředky a algicidy, které nejsou určeny k přímé aplikaci na lidi nebo zvířata;Desinfektionsmidler og algecider, der ikke er beregnet til direkte anvendelse på mennesker eller dyr;Desinfektionsmittel und Algizide, die nicht für die direkte Anwendung bei Menschen oder Tieren bestimmt sind;Απολυμαντικά και αλγοκτόνα που δεν προορίζονται για άμεση εφαρμογή σε ανθρώπους ή ζώα;Desinfectantes y alguicidas no destinados a la aplicación directa en humanos o animales;Desinfektsioonivahendid ja algitsiidid, mis ei ole ette nähtud otseseks kasutamiseks inimestele või loomadele;Desinfiointiaineet ja levänestoaineet, joita ei ole tarkoitettu suoraan käytettäväksi ihmisille tai eläimille;Désinfectants et algicides non destinés à une application directe sur les humains ou les animaux;Dezinfekcijska sredstva i algicidi koji nisu namijenjeni za izravnu primjenu na ljudima ili životinjama;Fertőtlenítőszerek és algicid szerek, amelyek nem közvetlen emberi vagy állati alkalmazásra szántak;Disinfettanti e alghicidi non destinati all'applicazione diretta su esseri umani o animali;Dezinfekantai ir algicidai, neskirti tiesioginiam naudojimui žmonėms ar gyvūnams;Dezinfekcijas līdzekļi un algicīdi, kas nav paredzēti tiešai lietošanai cilvēkiem vai dzīvniekiem;Diżinfettanti u algaċidi mhux maħsuba għall-applikazzjoni diretta fuq il-bnedmin jew l-annimali;Desinfectiemiddelen en algaeciden die niet bedoeld zijn voor directe toepassing op mensen of dieren;Środki dezynfekujące i algicydy nieprzeznaczone do bezpośredniego stosowania na ludziach lub zwierzętach;Desinfetantes e algicidas não destinados à aplicação direta em humanos ou animais;Dezinfectanți și algicide care nu sunt destinate aplicării directe pe oameni sau animale;Dezinfekčné prostriedky a algicídy, ktoré nie sú určené na priamu aplikáciu na ľudí alebo zvieratá;Razkužila in algicidi, ki niso namenjeni neposredni uporabi na ljudeh ali živalih;Desinfektionsmedel och algicider som inte är avsedda för direkt applicering på människor eller djur;Desinfeksjonsmidler og algecider som ikke er beregnet for direkte påføring på mennesker eller dyr;Sótthreinsiefni og þörungadrepandi efni sem ekki eru ætluð til beinnar notkunar á menn eða dýr
Wood preservatives;Консерванти за дървесина;Ochranné prostředky na dřevo;Træbeskyttelsesmidler;Holzschutzmittel;Συντηρητικά ξύλου;Preservantes para madera;Puidukaitsevahendid;Puunsuoja-aineet;Produits de préservation du bois;Sredstva za zaštitu drva;Faanyagvédő szerek;Preservanti per legno;Medienos konservantai;Koksnes konservanti;Preservattivi tal-injam;Houtconserveringsmiddelen;Środki konserwujące do drewna;Preservativos para madeira;Conservanți pentru lemn;Konzervačné prostriedky na drevo;Sredstva za zaščito lesa;Träskyddsmedel;Treimpregneringsmidler;Viðarvörn
Preservatives for liquid-cooling and processing systems;Консерванти за течни охлаждащи и технологични системи;Konzervační prostředky pro systémy kapalného chlazení a zpracování;Konserveringsmidler til væskekølings- og behandlingssystemer;Konservierungsmittel für Flüssigkeitskühl- und Verarbeitungssysteme;Συντηρητικά για συστήματα υγρής ψύξης και επεξεργασίας;Conservantes para sistemas de refrigeración y procesamiento de líquidos;Kaitsevahendid vedelikjahutus- ja töötlemissüsteemidele;Säilöntäaineet nestemäisille jäähdytys- ja käsittelyjärjestelmille;Conservateurs pour systèmes de refroidissement liquide et de traitement;Konzervansi za sustave tekućeg hlađenja i obrade;Folyadékhűtő és feldolgozó rendszerek tartósítószerei;Preservanti per sistemi di raffreddamento e lavorazione liquidi;Konservantai skystiems aušinimo ir apdorojimo sistemoms;Konservanti šķidruma dzesēšanas un apstrādes sistēmām;Preservattivi għal sistemi ta' tkessiħ u proċessar likwidu;Conserveringsmiddelen voor vloeistofkoeling en verwerkende systemen;Środki konserwujące do systemów chłodzenia cieczy i przetwarzania;Preservativos para sistemas de refrigeração e processamento de líquidos;Conservanți pentru sisteme de răcire și procesare lichide;Konzervačné prostriedky pre systémy na chladenie a spracovanie kvapalín;Sredstva za zaščito tekočinskih hladilnih in procesnih sistemov;Konserveringsmedel för vätskekylning och bearbetningssystem;Konserveringsmidler for væskekjølings- og prosesseringssystemer;Rotvarnarefni fyrir vökva-kæli- og vinnslukerfi
Article No (user);Артикулен номер (потребител);Číslo výrobku (uživatel);Artikel nr. (bruger);Artikel-Nr. (Benutzer);Αριθμός άρθρου (χρήστης);Número de artículo (usuario);Artikli nr (kasutaja);Tuotenumero (käyttäjä);Numéro d'article (utilisateur);Broj artikla (korisnik);Cikkszám (felhasználó);Numero articolo (utente);Straipsnio Nr. (naudotojas);Izstrādājuma Nr. (lietotājs);Numru tal-Artiklu (utent);Artikelnummer (gebruiker);Numer artykułu (użytkownik);N.º do artigo (utilizador);Număr articol (utilizator);Číslo výrobku (užívateľ);Številka artikla (uporabnik);Artikelnummer (användare);Artikkelnummer (bruker);Greinanúmer (notandi)
EAN No.;EAN №;Číslo EAN;EAN-nr.;EAN-Nummer;Αριθμός EAN;Número EAN;EAN number;EAN-numero;Numéro EAN;EAN broj;EAN-szám;Numero EAN;EAN numeris;EAN numurs;Numru EAN;EAN-nummer;Numer EAN;N.º EAN;Număr EAN;EAN číslo;EAN številka;EAN-nummer;EAN-nummer;EAN-númer
Product No.;Номер на продукта;Číslo výrobku;Produktnummer;Produktnummer;Αριθμός προϊόντος;Número de producto;Tootenumber;Tuotenumero;Référence produit;Broj proizvoda;Termékazonosító;Numero di prodotto;Produkto numeris;Produkta numurs;Numru tal-Prodott;Productnummer;Numer produktu;Referência do produto;Număr produs;Číslo výrobku;Številka izdelka;Produktnummer;Produktnummer;Vörunúmer
Nanoform;Наноформа (ако е приложимо);Nanoforma (pokud je relevantní);Nanoform (hvis relevant);Nanoform (falls zutreffend);Νανομορφή (εάν εφαρμόζεται);Nanoforma (si aplica);Nanovorm (kui kohaldub);Nanomuoto (jos soveltuu);Nanoforme (le cas échéant);Nanooblik (ako je primjenjivo);Nanoforma (ha alkalmazható);Nanoforma (se pertinente);Nanoforma (jei taikoma);Nanoforma (ja piemērots);Nanoforma (jekk japplika);Nanoform (indien van toepassing);Nanoforma (jeśli dotyczy);Nanoforma (se aplicável);Nanoformă (dacă este cazul);Nanoforma (ak je relevantné);Nanooblika (če je ustrezno);Nanoform (om tillämpligt);Nanoform (hvis aktuelt);Nanóform (ef við á)
