Category;Code;DE_Original;EN_Original
Identical DE/EN;01.02.01.01.00.01.01.11.1000;Self-heat. 1;Self-heat. 1
Identical DE/EN;01.02.01.01.00.01.01.11.2000;Self-heat. 2;Self-heat. 2
Identical DE/EN;01.02.01.01.00.01.01.12.1000;Water-react. 1;Water-react. 1
Identical DE/EN;01.02.01.01.00.01.01.12.2000;Water-react. 2;Water-react. 2
Identical DE/EN;01.02.01.01.00.01.01.12.3000;Water-react. 3;Water-react. 3
Identical DE/EN;01.02.01.01.00.01.01.13.1000;Ox. Liq. 1;Ox. Liq. 1
Identical DE/EN;01.02.01.01.00.01.01.13.2000;Ox. Liq. 2;Ox. Liq. 2
Identical DE/EN;01.02.01.01.00.01.01.13.3000;Ox. Liq. 3;Ox. Liq. 3
Identical DE/EN;01.02.01.01.00.01.01.14.1000;Ox. Sol. 1;Ox. Sol. 1
Identical DE/EN;01.02.01.01.00.01.01.14.2000;Ox. Sol. 2;Ox. Sol. 2
Identical DE/EN;01.02.01.01.00.01.01.14.3000;Ox. Sol. 3;Ox. Sol. 3
Identical DE/EN;01.02.01.01.00.01.01.15.1000;Org. Perox. A;Org. Perox. A
Identical DE/EN;01.02.01.01.00.01.01.15.2000;Org. Perox. B;Org. Perox. B
Identical DE/EN;01.02.01.01.00.01.01.15.3000;Org. Perox. C;Org. Perox. C
Identical DE/EN;01.02.01.01.00.01.01.15.4000;Org. Perox. D;Org. Perox. D
Identical DE/EN;01.02.01.01.00.01.01.15.5000;Org. Perox. CD;Org. Perox. CD
Identical DE/EN;01.02.01.01.00.01.01.15.6000;Org. Perox. E;Org. Perox. E
Identical DE/EN;01.02.01.01.00.01.01.15.7000;Org. Perox. EF;Org. Perox. EF
Identical DE/EN;01.02.01.01.00.01.01.15.8000;Org. Perox. F;Org. Perox. F
Identical DE/EN;01.02.01.01.00.01.01.15.9000;Org. Perox. G;Org. Perox. G
Identical DE/EN;01.02.01.01.00.01.01.16.1000;Met. Corr. 1;Met. Corr. 1
Identical DE/EN;01.02.01.01.00.01.02.01.1000;Acute Tox. 1;Acute Tox. 1
Identical DE/EN;01.02.01.01.00.01.02.01.2000;Acute Tox. 2;Acute Tox. 2
Identical DE/EN;01.02.01.01.00.01.02.01.3000;Acute Tox. 3;Acute Tox. 3
Identical DE/EN;01.02.01.01.00.01.02.01.4000;Acute Tox. 4;Acute Tox. 4
Identical DE/EN;01.02.01.01.00.01.02.04.1000;Skin Corr. 1A;Skin Corr. 1A
Identical DE/EN;01.02.01.01.00.01.02.04.2000;Skin Corr. 1B;Skin Corr. 1B
Identical DE/EN;01.02.01.01.00.01.02.04.3000;Skin Corr. 1C;Skin Corr. 1C
Identical DE/EN;01.02.01.01.00.01.02.04.4000;Skin Irrit. 2;Skin Irrit. 2
Identical DE/EN;01.02.01.01.00.01.02.04.5000;Skin Corr. 1;Skin Corr. 1
Identical DE/EN;01.02.01.01.00.01.02.05.1000;Eye Dam. 1;Eye Dam. 1
Identical DE/EN;01.02.01.01.00.01.02.05.2000;Eye Irrit. 2;Eye Irrit. 2
Identical DE/EN;01.02.01.01.00.01.02.06.1000;Resp. Sens. 1;Resp. Sens. 1
Identical DE/EN;01.02.01.01.00.01.02.06.2000;Resp. Sens. 1A;Resp. Sens. 1A
Identical DE/EN;01.02.01.01.00.01.02.06.3000;Resp. Sens. 1B;Resp. Sens. 1B
Identical DE/EN;01.02.01.01.00.01.02.06.4000;Skin Sens. 1;Skin Sens. 1
Identical DE/EN;01.02.01.01.00.01.02.06.5000;Skin Sens. 1A;Skin Sens. 1A
Identical DE/EN;01.02.01.01.00.01.02.06.6000;Skin Sens. 1B;Skin Sens. 1B
Identical DE/EN;01.02.01.01.00.01.02.07.3000;Muta. 2;Muta. 2
Identical DE/EN;01.02.01.01.00.01.02.08.3000;Carc. 2;Carc. 2
Identical DE/EN;01.02.01.01.00.01.02.09.1001;Repr. 1A;Repr. 1A
Identical DE/EN;01.02.01.01.00.01.02.09.1002;Repr. 1B;Repr. 1B
Identical DE/EN;01.02.01.01.00.01.02.09.2000;Repr. 2;Repr. 2
Identical DE/EN;01.02.01.01.00.01.02.09.3000;Lact.;Lact.
Identical DE/EN;01.02.01.01.00.01.02.10.1000;STOT SE 1;STOT SE 1
Identical DE/EN;01.02.01.01.00.01.02.10.2000;STOT SE 2;STOT SE 2
Identical DE/EN;01.02.01.01.00.01.02.10.3000;STOT SE 3;STOT SE 3
Identical DE/EN;01.02.01.01.00.01.02.11.1000;STOT RE 1;STOT RE 1
Identical DE/EN;01.02.01.01.00.01.02.11.2000;STOT RE 2;STOT RE 2
Identical DE/EN;01.02.01.01.00.01.02.12.1000;Asp. Tox. 1;Asp. Tox. 1
Identical DE/EN;01.02.01.01.00.01.03.01.1000;Aquatic Acute 1;Aquatic Acute 1
Identical DE/EN;01.02.01.01.00.01.03.01.2000;Aquatic Chronic 1;Aquatic Chronic 1
Identical DE/EN;01.02.01.01.00.01.03.01.3000;Aquatic Chronic 2;Aquatic Chronic 2
Identical DE/EN;01.02.01.01.00.01.03.01.4000;Aquatic Chronic 3;Aquatic Chronic 3
Identical DE/EN;01.02.01.01.00.01.03.01.5000;Aquatic Chronic 4;Aquatic Chronic 4
Identical DE/EN;01.02.01.01.00.01.04.01.1000;Ozone 1;Ozone 1
Identical DE/EN;01.02.01.01.00.02.02.19000.1000.00.1001;Inhalation;inhalation
Identical DE/EN;01.02.01.01.00.02.02.19000.1000.00.1002;dermal;dermal
Identical DE/EN;01.02.01.01.01.14000;TRGS 907;TRGS 907
Identical DE/EN;01.02.01.01.03.00.1001;mg/kg;mg/kg
Extreme Length Difference;01.02.02.01.03.02.03.92000;Bei Brand: Umgebung räumen.;In case of fire: Evacuate area. Fight fire remotely due to the risk of explosion. Use dry sand to extinguish.
Extreme Length Difference;01.02.02.01.03.02.03.93000;Bei Brand: Umgebung räumen.;In case of fire: Evacuate area. Fight fire remotely due to the risk of explosion. Use dry extinguishing powder to extinguish.
Extreme Length Difference;01.02.02.02.02.11000;Bei Personen;Persons already sensitised to diisocyanates may develop allergic reactions when using this product.
Extreme Length Difference;01.02.02.02.02.18000;if necessary;Preferably use hand tools or low-speed tools equipped
Extreme Length Difference;01.02.02.02.02.22000;3;Mixtures of (3
Extreme Length Difference;01.02.02.02.06.02.02.02.4000;concrete;To protect aquatic organisms/non-target plants do not apply on impermeable surfaces such as asphalt
Extreme Length Difference;01.02.02.02.07.2000;Enthält Formaldehyd.;Contains formaldehyde. It is recommended to wash this clothing item before wearing it for the first time to improve skin tolerance.
Extreme Length Difference;01.02.02.02.07.3000;Gesundheitsschädlich;Caution! Absolutely observe! Damage to health through inhalation possible! Only use outdoors and with good ventilation! Only spray for a few seconds! Spray large areas of leather and textile products only outdoors and allow to air well! Keep away from children!
Extreme Length Difference;01.02.03.01.12000;flash back;Vapours can travel considerable distances to a source of ignition where they can ignite
Extreme Length Difference;01.02.03.01.5000;in pits;The vapour of the product is heavier than air and may accumulate below ground level
Extreme Length Difference;01.02.03.01.9000;sparks;This material can be ignited by heat
Extreme Length Difference;01.02.03.02.5000;excessive dust exposure can cause pneumoconiosis.;A repeated
Extreme Length Difference;01.02.03.03.1000;Annex XIII.;This substance meets the criteria for PBT according to Regulation (EC) No 1907/2006
Extreme Length Difference;01.02.03.03.11001;Das Gemisch enthält >= 0;The mixture contains >= 0.1% of substances that have endocrine disrupting properties. See SECTION 3 of this safety data sheet.
Extreme Length Difference;01.02.03.03.2000;Annex XIII.;This substance meets the vPvB-criteria according to Regulation (EC) No 1907/2006
Extreme Length Difference;01.02.03.03.3000;Annex XIII.;This substance meets the criteria for vPvB and PBT according to Regulation (EC) No 1907/2006
Extreme Length Difference;01.02.03.04.10000.1003;ventilation etc);variable parametres of the processing plant (eg. screw construction
Identical DE/EN;01.03.01.01.02.;CAS Online Inventory Name;CAS Online Inventory Name
Identical DE/EN;01.03.02.02.09.01.01.02.1000;Flam. Gas 1;Flam. Gas 1
Extreme Length Difference;01.03.02.02.09.05.4000;Stoff;Substance with a community workplace exposure limit.
Extreme Length Difference;01.03.02.03.3000;if required.;Exempted according to REACH Article 2(7) and Annex V. Each starting material of the ionic mixture is registered
Invalid or Nonsense Content;01.04.01.03.01.1001;5 - 1 %);Acetic acid (0
Identical DE/EN;01.04.02.01.01.1035;Miosis;Miosis
Identical DE/EN;01.04.02.01.01.1047;Tremor;Tremor
Extreme Length Difference;01.04.03.02.1000;earlobes;In the case of bluish discoloration (lips
Identical DE/EN;01.05.03.01.01.00.1003;Methanol;Methanol
Identical DE/EN;01.05.03.01.01.00.1022;Acrolein;Acrolein
Extreme Length Difference;01.06.02.12000;Sicherstellen;Ensure all waste water is collected and treated via a waste water treatment plant.
Identical DE/EN;01.06.03.02.01.1003;Petroleum;Petroleum
Extreme Length Difference;01.06.03.02.03.22000;In geeigneten;Collect in closed and suitable containers for disposal.
Extreme Length Difference;01.06.03.02.03.23000;fleece).;Wipe up with absorbent material (eg. cloth
Extreme Length Difference;01.06.03.02.03.9000;sucking).;Remove from the water surface (e.g. skimming
Identical DE/EN;01.07.01.01.01.01.10000.1008;Argon;Argon
Extreme Length Difference;01.07.01.01.03.03.4000.;approved industrial vacuum cleaners are recommended;For cleaning
Identical DE/EN;01.07.01.01.05.10000.1001;Aluminium;Aluminium
Extreme Length Difference;01.07.01.01.05.10000.1013;containing light metal;Alloy
Identical DE/EN;01.07.01.01.05.10000.1024;Polyolefine;Polyolefine
Extreme Length Difference;01.07.01.01.05.5000;Sicherstellen;Ensure that fresh air is supplied to the breathing zone of the operator and exhaust air is removed in his back!
Extreme Length Difference;01.07.01.02.00.3000;drink;When using do not eat
Identical DE/EN;01.07.02.04.02.03.01.1003;Frost;Frost
Identical DE/EN;01.07.03.02.01.;Giscode;Giscode
Identical DE/EN;01.07.03.02.01.1020;Bitumen;Bitumen
Extreme Length Difference;01.07.03.02.01.1025;based on calcium sulphate;Putty
Extreme Length Difference;01.07.03.02.01.1194;other;Emulsions/dispersions
Extreme Length Difference;01.07.03.02.01.1217;other;Wood and stone care products
Extreme Length Difference;01.07.03.02.01.1262;toxic;Phenolic resin products
Extreme Length Difference;01.07.03.02.01.1264;harmful;Styrene-containing reaction resins
Extreme Length Difference;01.07.03.02.01.1276;Solvent-free polyurethane installation products;5
Identical DE/EN;01.08.01.01.01.1001;AGW (DE);AGW (DE)
Identical DE/EN;01.08.01.01.01.1002;VLA (ES);VLA (ES)
Identical DE/EN;01.08.01.01.01.1003;MAC (NL);MAC (NL)
Identical DE/EN;01.08.01.01.01.1004;WEL (UK);WEL (UK)
Identical DE/EN;01.08.01.01.01.1005;OEL (EC);OEL (EC)
Identical DE/EN;01.08.01.01.01.1006;TWA (EC);TWA (EC)
Identical DE/EN;01.08.01.01.01.1007;STEL (EC);STEL (EC)
Identical DE/EN;01.08.01.01.01.1008;VLE (FR);VLE (FR)
Identical DE/EN;01.08.01.01.01.1009;ÁK (HU);ÁK (HU)
Identical DE/EN;01.08.01.01.01.1010;PK (HU);PK (HU)
Identical DE/EN;01.08.01.01.01.1011;MK (HU);MK (HU)
Identical DE/EN;01.08.01.01.01.1012;MAK (CH);MAK (CH)
Identical DE/EN;01.08.01.01.01.1013;NDS (PL);NDS (PL)
Identical DE/EN;01.08.01.01.01.1014;NDSCH (PL);NDSCH (PL)
Identical DE/EN;01.08.01.01.01.1015;NDSP (PL);NDSP (PL)
Identical DE/EN;01.08.01.01.01.1016;EBW (DE);EBW (DE)
Identical DE/EN;01.08.01.01.01.1017;GV (NO);GV (NO)
Identical DE/EN;01.08.01.01.01.1018;KV (NO);KV (NO)
Identical DE/EN;01.08.01.01.05.01.00.1001;mg/m³;mg/m³
Identical DE/EN;01.08.01.01.05.01.00.1003;mL/m³;mL/m³
Identical DE/EN;01.08.01.01.10.1001;TRGS 900;TRGS 900
Identical DE/EN;01.08.01.02.05.;Parameter;Parameter
Identical DE/EN;01.08.01.02.05.1002;Acetylcholinesterase;Acetylcholinesterase
Identical DE/EN;01.08.01.02.05.1003;Alumimium;Alumimium
Extreme Length Difference;01.08.01.02.05.1027;5-hexanedione plus 4;2
Identical DE/EN;01.08.01.02.05.1030;CO-Hb;CO-Hb
Identical DE/EN;01.08.01.02.05.1035;1-Methoxypropan-2-ol;1-methoxypropan-2-ol
Identical DE/EN;01.08.01.02.06.00.1007;pmol/g;pmol/g
Identical DE/EN;01.08.01.02.07.1003;Plasma/Serum;Plasma/Serum
Identical DE/EN;01.08.01.02.09.1001;TRGS 903;TRGS 903
Identical DE/EN;01.08.01.03.02.01.1001;BGW (DE);BGW (DE)
Identical DE/EN;01.08.01.04.02.02.00.1005;mg/cm²;mg/cm²
Identical DE/EN;01.08.01.04.02.02.00.1006;µg/cm²;µg/cm²
Extreme Length Difference;01.08.02.01.06.3000;Der Zugang zu Arbeitsräumen;Access to workspaces where nanomaterials are used shall be restricted to authorised and instructed persons only.
Extreme Length Difference;01.08.02.01.06.7000;Staubablagerungen;Elimination of dust deposits containing nanoparticles in the wet/wet process and only as a second priority with a suitable vacuum cleaner (never blow off with compressed air).
Identical DE/EN;01.08.02.02.03.03.02.1021;ABEK-P1;ABEK-P1
Identical DE/EN;01.08.02.02.03.03.02.1022;ABEK-P2;ABEK-P2
Identical DE/EN;01.08.02.02.03.03.02.1023;ABEK-P3;ABEK-P3
Extreme Length Difference;01.08.02.02.03.05.1000;B;Filter types: A
Identical DE/EN;01.08.02.03.03.02.1011;Adsorption;Adsorption
Identical DE/EN;01.08.02.03.03.03.1001;Oxidation;Oxidation
Identical DE/EN;01.09.01.01.01.01.1001;Aerosol;Aerosol
Identical DE/EN;01.09.01.01.01.01.1002;Emulsion;Emulsion
Identical DE/EN;01.09.01.01.01.01.1004.1001;Paste;Paste
Identical DE/EN;01.09.01.01.01.01.1004.1004;Suspension;suspension
Identical DE/EN;01.09.01.01.01.01.1004.1005;Dispersion;dispersion
Identical DE/EN;01.09.01.01.01.01.1005.1007;Chips;chips
Identical DE/EN;01.09.01.01.01.01.1005.1008;Pellets;pellets
Identical DE/EN;01.09.01.01.01.01.1005.1018;Nanomaterial;nanomaterial
Identical DE/EN;01.09.01.01.02.1001;transparent;transparent
Identical DE/EN;01.09.01.01.02.1012;orange;orange
Identical DE/EN;01.09.01.01.02.1028;golden;golden
Identical DE/EN;01.09.01.01.02.1030;bronze;bronze
Identical DE/EN;01.09.01.01.02.1031;beige;beige
Identical DE/EN;01.09.01.01.02.1058;diverse;diverse
Identical DE/EN;01.09.01.02.1011.1011;Phenol;Phenol
Identical DE/EN;01.09.01.02.1011.1013;Paraffin;Paraffin
Identical DE/EN;01.09.01.02.1011.1015;Isobutanol;Isobutanol
Identical DE/EN;01.09.01.02.1011.1016;Butanol;Butanol
Identical DE/EN;01.09.01.02.1011.1018;Ethanol;Ethanol
Identical DE/EN;01.09.01.02.1011.1019;Isopropanol;Isopropanol
Identical DE/EN;01.09.01.02.1011.1029;Ether;Ether
Identical DE/EN;01.09.01.02.1011.1031;Ester;Ester
Identical DE/EN;01.09.01.02.1011.1033;Chloroform;Chloroform
Identical DE/EN;01.09.01.02.1011.1037;Menthol;Menthol
Identical DE/EN;01.09.01.02.1011.1044;Mercaptan;Mercaptan
Identical DE/EN;01.09.01.04.01.03.01.02.1001;OECD 102;OECD 102
Identical DE/EN;01.09.01.04.01.03.01.02.1002;DIN ISO 2207;DIN ISO 2207
Identical DE/EN;01.09.01.04.01.03.01.02.1003;DIN ISO 3841;DIN ISO 3841
Identical DE/EN;01.09.01.04.01.03.01.02.1004;DIN 51556;DIN 51556
Identical DE/EN;01.09.01.04.01.03.01.02.1005;DIN 53175;DIN 53175
Identical DE/EN;01.09.01.04.01.03.02.02.1001;ISO 1041;ISO 1041
Identical DE/EN;01.09.01.04.01.03.03.02.1003;DIN ISO 4625;DIN ISO 4625
Identical DE/EN;01.09.01.04.01.03.03.02.1004;ISO 306;ISO 306
Identical DE/EN;01.09.01.04.01.03.03.02.1005;ISO 5940;ISO 5940
Identical DE/EN;01.09.01.04.01.03.03.02.1006;DIN 51920;DIN 51920
Identical DE/EN;01.09.01.04.01.03.03.02.1007;DIN 52011;DIN 52011
Identical DE/EN;01.09.01.04.01.03.03.02.1008;DIN 52025;DIN 52025
Identical DE/EN;01.09.01.04.01.03.05.;Pourpoint;Pourpoint
Identical DE/EN;01.09.01.04.01.03.05.02.1001;DIN ISO 3016;DIN ISO 3016
Identical DE/EN;01.09.01.04.01.03.05.02.1002;ASTM D97;ASTM D97
Identical DE/EN;01.09.01.04.01.03.05.02.1003;ASTM D5950;ASTM D5950
Identical DE/EN;01.09.01.04.01.03.05.02.1004;ISO 3016;ISO 3016
Identical DE/EN;01.09.01.04.01.03.05.02.1005;ASTM D5346;ASTM D5346
Identical DE/EN;01.09.01.04.01.03.06.02.1002;ISO 1392;ISO 1392
Identical DE/EN;01.09.01.04.01.03.07.02.1001;DIN ISO 2176;DIN ISO 2176
Identical DE/EN;01.09.01.04.01.03.07.02.1002;DIN 51801;DIN 51801
Identical DE/EN;01.09.01.04.01.03.09.02.1001;DIN ISO 2977;DIN ISO 2977
Extreme Length Difference;01.09.01.04.04.1001;Annex;Regulation (EC) No. 440/2008
Identical DE/EN;01.09.01.04.04.1003;EN ISO 3146;EN ISO 3146
Identical DE/EN;01.09.01.04.04.1004;DIN 53181;DIN 53181
Identical DE/EN;01.09.01.04.04.1005;DIN 53736;DIN 53736
Identical DE/EN;01.09.01.04.04.1007;ASTM D3451-76;ASTM D3451-76
Identical DE/EN;01.09.01.04.04.1008;ASTM D1120;ASTM D1120
Identical DE/EN;01.09.01.04.04.1009;ASTM D2116;ASTM D2116
Identical DE/EN;01.09.01.04.04.1010;ASTM D3159;ASTM D3159
Identical DE/EN;01.09.01.04.04.1011;ASTM D3307;ASTM D3307
Identical DE/EN;01.09.01.04.04.1012;ASTM D4591;ASTM D4591
Identical DE/EN;01.09.01.04.04.1013;ASTM D4745;ASTM D4745
Identical DE/EN;01.09.01.04.04.1014;ASTM D4894;ASTM D4894
Identical DE/EN;01.09.01.04.04.1015;ASTM D4895;ASTM D4895
Identical DE/EN;01.09.01.04.04.1016;DIN 51421;DIN 51421
Identical DE/EN;01.09.01.04.04.1017;ASTM D1015;ASTM D1015
Identical DE/EN;01.09.01.05.03.1001;OECD 103;OECD 103
Identical DE/EN;01.09.01.05.03.1003;EN ISO 3405;EN ISO 3405
Identical DE/EN;01.09.01.05.03.1004.;EN ISO 3924;EN ISO 3924
Identical DE/EN;01.09.01.05.03.1005;ISO 4626;ISO 4626
Identical DE/EN;01.09.01.05.03.1006;ISO 918;ISO 918
Identical DE/EN;01.09.01.05.03.1007;DIN 51751;DIN 51751
Identical DE/EN;01.09.01.05.03.1008;DIN 53171;DIN 53171
Identical DE/EN;01.09.01.05.03.1009;ASTM D86;ASTM D86
Identical DE/EN;01.09.01.05.03.1010;ASTM D1078;ASTM D1078
Extreme Length Difference;01.09.01.06.05.00.9000;No. 4.6.;Calculation according to EN ISO 10156
Identical DE/EN;01.09.01.07.01.01.00.1001;Vol-%;Vol-%
Identical DE/EN;01.09.01.07.01.01.00.1003;mol-%;mol-%
Identical DE/EN;01.09.01.07.04.1002;DIN 51649-1;DIN 51649-1
Identical DE/EN;01.09.01.07.04.1003;ASTM E 681;ASTM E 681
Identical DE/EN;01.09.01.07.04.1004;EN ISO 10156;EN ISO 10156
Identical DE/EN;01.09.01.08.02.1002;EN ISO 1516;EN ISO 1516
Identical DE/EN;01.09.01.08.02.1003;EN ISO 1523;EN ISO 1523
Identical DE/EN;01.09.01.08.02.1004;EN ISO 2719;EN ISO 2719
Identical DE/EN;01.09.01.08.02.1005;EN ISO 3679;EN ISO 3679
Identical DE/EN;01.09.01.08.02.1006;EN ISO 3680;EN ISO 3680
Identical DE/EN;01.09.01.08.02.1007;EN ISO 13736;EN ISO 13736
Identical DE/EN;01.09.01.08.02.1010;DIN 51758;DIN 51758
Identical DE/EN;01.09.01.08.02.1011;DIN 51376;DIN 51376
Identical DE/EN;01.09.01.08.02.1012;DIN 53213-1;DIN 53213-1
Identical DE/EN;01.09.01.08.02.1013;DIN 53169;DIN 53169
Identical DE/EN;01.09.01.08.02.1014;DIN 55680;DIN 55680
Identical DE/EN;01.09.01.08.02.1016;ASTM D92;ASTM D92
Identical DE/EN;01.09.01.08.02.1017;NF M 07 - 019;NF M 07 - 019
Identical DE/EN;01.09.01.08.02.1018;NF M 07 - 011;NF M 07 - 011
Identical DE/EN;01.09.01.08.02.1019;NF T 30 - 050;NF T 30 - 050
Identical DE/EN;01.09.01.08.02.1020;NF M 07 - 036;NF M 07 - 036
Identical DE/EN;01.09.01.08.02.1021;NF T 66 - 009;NF T 66 - 009
Identical DE/EN;01.09.01.08.02.1022;BS 2000 Part 170;BS 2000 Part 170
Identical DE/EN;01.09.01.08.02.1023;EN ISO 2592;EN ISO 2592
Identical DE/EN;01.09.01.08.02.1024;GOST 12.1.044;GOST 12.1.044
Identical DE/EN;01.09.01.08.02.1025;ASTM D56;ASTM D56
Identical DE/EN;01.09.01.08.02.1026;ASTM D3828;ASTM D3828
Identical DE/EN;01.09.01.08.02.1027;ASTM D3278;ASTM D3278
Identical DE/EN;01.09.01.08.02.1028;ASTM D93;ASTM D93
Identical DE/EN;01.09.01.09.02.00.1002;DIN 51794;DIN 51794
Identical DE/EN;01.09.01.10.03.1004;DSC/DTA;DSC/DTA
Identical DE/EN;01.09.01.11.05.1001;DIN 19261;DIN 19261
Identical DE/EN;01.09.01.11.05.1002;DIN 19268;DIN 19268
Identical DE/EN;01.09.01.11.05.1003;DIN 51369;DIN 51369
Identical DE/EN;01.09.01.11.05.1004;DIN 53785;DIN 53785
Identical DE/EN;01.09.01.11.05.1005;DIN 53996;DIN 53996
Identical DE/EN;01.09.01.11.05.1006;ISO 4316;ISO 4316
Identical DE/EN;01.09.01.11.05.1007;ISO 976;ISO 976
Identical DE/EN;01.09.01.11.05.1008;OECD 122;OECD 122
Identical DE/EN;01.09.01.11.07.00.1002;neutral;neutral
Identical DE/EN;01.09.01.12.02.00.1002;mPa*s;mPa*s
Identical DE/EN;01.09.01.12.02.00.1003;µPa*s;µPa*s
Identical DE/EN;01.09.01.12.02.01.1001;mm²/s;mm²/s
Identical DE/EN;01.09.01.12.05.00.1001;EN ISO 3104;EN ISO 3104
Identical DE/EN;01.09.01.12.05.00.1002;EN ISO 3219;EN ISO 3219
Identical DE/EN;01.09.01.12.05.00.1003;DIN 51562;DIN 51562
Identical DE/EN;01.09.01.12.05.00.1004;ASTM D445;ASTM D445
Identical DE/EN;01.09.01.12.05.00.1005;DIN ISO 2909;DIN ISO 2909
Identical DE/EN;01.09.01.12.05.00.1006;OECD 114;OECD 114
Identical DE/EN;01.09.01.12.05.01.1001;DIN ISO 6388;DIN ISO 6388
Identical DE/EN;01.09.01.12.05.01.1002;EN ISO 2555;EN ISO 2555
Identical DE/EN;01.09.01.12.05.01.1003;EN ISO 2884;EN ISO 2884
Identical DE/EN;01.09.01.12.05.01.1005;DIN 51377;DIN 51377
Identical DE/EN;01.09.01.12.05.01.1006;DIN 51398;DIN 51398
Identical DE/EN;01.09.01.12.05.01.1007;DIN 51810;DIN 51810
Identical DE/EN;01.09.01.12.05.01.1008;DIN 51550;DIN 51550
